SAMPLEID,TAXAID,N_TAXA,TYPE,TOLER,NATIVE,TROPHIC,SILT,INDEX_CLASS,SAMP_LENGTH_M,SAMP_WIDTH_M,SAMP_BIOMASS,INDEX_NAME,EXCLUDE,BCG_ATTR,DA_MI2,N_ANOMALIES,FAMILY,GENUS,THERMAL_INDICATOR,ELEVATION_ATTR,GRADIENT_ATTR,WSAREA_ATTR,REPRODUCTION,HABITAT,CONNECTIVITY,SCC,HYBRID
TMDB-434-X-1111,FALLFISH,5,OTHRCYPR,I,N,GE,Y,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,CREEK CHUB,55,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,FATHEAD MINNOW,1,OTHRCYPR,NOTYPE,I,OM,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,LONGNOSE DACE,2,OTHRCYPR,NOTYPE,N,OM,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,ROSYSIDE DACE,14,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,SATINFIN SHINER,2,SHINER,I,N,IV,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,BLACKNOSE DACE,97,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,WHITE SUCKER,16,SUCKER,T,N,OM,Y,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,LARGEMOUTH BASS,3,NOTYPE,T,IC,TP,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,TESSELLATED DARTER,14,DARTER,T,N,IV,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-434-X-1111,PUMPKINSEED,2,SUNFISH,T,IY,IV,N,EPIEDMONT,75,2.575,1377,MBSS_2005_Fish,,,0.61,0,,,,,,,,,,,
TMDB-435-X-1111,CREEK CHUB,147,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,1.925,1389,MBSS_2005_Fish,,,0.23,0,,,,,,,,,,,
TMDB-435-X-1111,BLACKNOSE DACE,430,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,1.925,1389,MBSS_2005_Fish,,,0.23,0,,,,,,,,,,,
TMDB-435-X-1111,BLUE RIDGE SCULPIN,45,SCULPIN,I,N,IS,Y,EPIEDMONT,75,1.925,1389,MBSS_2005_Fish,,,0.23,0,,,,,,,,,,,
TMDB-437-R-1111,BLACKNOSE DACE,129,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,BLUE RIDGE SCULPIN,317,SCULPIN,I,N,IS,Y,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,WHITE SUCKER,3,SUCKER,T,N,OM,Y,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,BLUEGILL,7,SUNFISH,T,IC,IV,N,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,CREEK CHUB,55,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,COMMON SHINER,2,SHINER,I,N,OM,Y,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,CUTLIP MINNOW,5,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,LONGNOSE DACE,18,OTHRCYPR,NOTYPE,N,OM,N,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,LARGEMOUTH BASS,4,NOTYPE,T,IC,TP,N,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,FALLFISH,8,OTHRCYPR,I,N,GE,Y,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-437-R-1111,ROSYSIDE DACE,35,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,2.425,1438,MBSS_2005_Fish,,,0.88,0,,,,,,,,,,,
TMDB-439-R-1111,BLUE RIDGE SCULPIN,1098,SCULPIN,I,N,IS,Y,EPIEDMONT,75,2.725,1945,MBSS_2005_Fish,,,1.07,0,,,,,,,,,,,
TMDB-439-R-1111,BLACKNOSE DACE,226,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,2.725,1945,MBSS_2005_Fish,,,1.07,0,,,,,,,,,,,
TMDB-439-R-1111,WHITE SUCKER,98,SUCKER,T,N,OM,Y,EPIEDMONT,75,2.725,1945,MBSS_2005_Fish,,,1.07,0,,,,,,,,,,,
TMDB-439-R-1111,ROSYSIDE DACE,5,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,2.725,1945,MBSS_2005_Fish,,,1.07,0,,,,,,,,,,,
TMDB-439-R-1111,CREEK CHUB,40,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,2.725,1945,MBSS_2005_Fish,,,1.07,0,,,,,,,,,,,
TMDB-439-R-1111,LONGNOSE DACE,112,OTHRCYPR,NOTYPE,N,OM,N,EPIEDMONT,75,2.725,1945,MBSS_2005_Fish,,,1.07,0,,,,,,,,,,,
TMDB-635-R-1111,BLACKNOSE DACE,2,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,BLUEGILL,1,SUNFISH,T,IC,IV,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,RIVER CHUB,9,OTHRCYPR,I,N,OM,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,COMMON SHINER,4,SHINER,I,N,OM,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,BLUE RIDGE SCULPIN,75,SCULPIN,I,N,IS,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,CREEK CHUB,26,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,CUTLIP MINNOW,15,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,FALLFISH,71,OTHRCYPR,I,N,GE,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,LONGNOSE DACE,10,OTHRCYPR,NOTYPE,N,OM,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,MARGINED MADTOM,6,MADTOM,I,IY,IV,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,BLUNTNOSE MINNOW,2,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,REDBREAST SUNFISH,5,SUNFISH,NOTYPE,IY,GE,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,ROSYFACE SHINER,9,SHINER,NOTYPE,N,IV,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,ROSYSIDE DACE,3,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,SMALLMOUTH BASS,10,NOTYPE,NOTYPE,IC,TP,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,WHITE SUCKER,99,SUCKER,T,N,OM,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,TESSELLATED DARTER,25,DARTER,T,N,IV,N,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-635-R-1111,NORTHERN HOGSUCKER,9,SUCKER,I,N,IV,Y,EPIEDMONT,75,12.45,6740,MBSS_2005_Fish,,,21.23,0,,,,,,,,,,,
TMDB-636-R-1111,CREEK CHUB,99,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,BLACKNOSE DACE,118,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,BLUNTNOSE MINNOW,8,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,CUTLIP MINNOW,16,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,FALLFISH,34,OTHRCYPR,I,N,GE,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,LONGNOSE DACE,164,OTHRCYPR,NOTYPE,N,OM,N,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,MARGINED MADTOM,1,MADTOM,I,IY,IV,N,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,NORTHERN HOGSUCKER,11,SUCKER,I,N,IV,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,REDBREAST SUNFISH,1,SUNFISH,NOTYPE,IY,GE,N,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,ROSYSIDE DACE,26,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,SWALLOWTAIL SHINER,3,SHINER,NOTYPE,N,IV,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,TESSELLATED DARTER,28,DARTER,T,N,IV,N,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,WHITE SUCKER,119,SUCKER,T,N,OM,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,RIVER CHUB,23,OTHRCYPR,I,N,OM,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,BLUE RIDGE SCULPIN,567,SCULPIN,I,N,IS,Y,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
TMDB-636-R-1111,SMALLMOUTH BASS,4,NOTYPE,NOTYPE,IC,TP,N,EPIEDMONT,75,16.325,3936,MBSS_2005_Fish,,,19.72,0,,,,,,,,,,,
UTVD-438-R-1111,EASTERN MOSQUITOFISH,1,NOTYPE,NOTYPE,N,IV,N,EPIEDMONT,75,7.625,5414,MBSS_2005_Fish,,,2.71,0,,,,,,,,,,,
UTVD-438-R-1111,SWALLOWTAIL SHINER,42,SHINER,NOTYPE,N,IV,Y,EPIEDMONT,75,7.625,5414,MBSS_2005_Fish,,,2.71,0,,,,,,,,,,,
UTVD-438-R-1111,AMERICAN EEL,6,NOTYPE,NOTYPE,N,GE,N,EPIEDMONT,75,7.625,5414,MBSS_2005_Fish,,,2.71,0,,,,,,,,,,,
UTVD-438-R-1111,CREEK CHUB,408,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,7.625,5414,MBSS_2005_Fish,,,2.71,0,,,,,,,,,,,
UTVD-438-R-1111,WHITE SUCKER,54,SUCKER,T,N,OM,Y,EPIEDMONT,75,7.625,5414,MBSS_2005_Fish,,,2.71,0,,,,,,,,,,,
UTVD-438-R-1111,BLACKNOSE DACE,488,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,7.625,5414,MBSS_2005_Fish,,,2.71,0,,,,,,,,,,,
UTVD-444-R-1111,BLACKNOSE DACE,89,OTHRCYPR,T,N,OM,N,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UTVD-444-R-1111,TESSELLATED DARTER,21,DARTER,T,N,IV,N,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UTVD-444-R-1111,CREEK CHUB,56,OTHRCYPR,T,N,GE,Y,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UTVD-444-R-1111,AMERICAN EEL,1,NOTYPE,NOTYPE,N,GE,N,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UTVD-444-R-1111,WHITE SUCKER,41,SUCKER,T,N,OM,Y,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UTVD-444-R-1111,MUMMICHOG,8,NOTYPE,NOTYPE,N,IV,N,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UTVD-444-R-1111,REDBREAST SUNFISH,9,SUNFISH,NOTYPE,IY,GE,N,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UTVD-444-R-1111,SWALLOWTAIL SHINER,8,SHINER,NOTYPE,N,IV,Y,COASTAL,75,4.5,535,MBSS_2005_Fish,,,2.94,0,,,,,,,,,,,
UXED-432-R-1111,ROSYSIDE DACE,44,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,2.3,1019,MBSS_2005_Fish,,,0.34,0,,,,,,,,,,,
UXED-432-R-1111,CREEK CHUB,32,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,2.3,1019,MBSS_2005_Fish,,,0.34,0,,,,,,,,,,,
UXED-432-R-1111,BROWN TROUT,5,NOTYPE,NOTYPE,I,TP,Y,EPIEDMONT,75,2.3,1019,MBSS_2005_Fish,,,0.34,0,,,,,,,,,,,
UXED-432-R-1111,AMERICAN EEL,3,NOTYPE,NOTYPE,N,GE,N,EPIEDMONT,75,2.3,1019,MBSS_2005_Fish,,,0.34,0,,,,,,,,,,,
UXED-432-R-1111,BLUE RIDGE SCULPIN,57,SCULPIN,I,N,IS,Y,EPIEDMONT,75,2.3,1019,MBSS_2005_Fish,,,0.34,0,,,,,,,,,,,
UXED-432-R-1111,BLACKNOSE DACE,123,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,2.3,1019,MBSS_2005_Fish,,,0.34,0,,,,,,,,,,,
UXED-432-R-1111,WHITE SUCKER,8,SUCKER,T,N,OM,Y,EPIEDMONT,75,2.3,1019,MBSS_2005_Fish,,,0.34,0,,,,,,,,,,,
UXED-636-R-1111,CUTLIP MINNOW,117,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,AMERICAN EEL,208,NOTYPE,NOTYPE,N,GE,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,BLACKNOSE DACE,264,OTHRCYPR,T,N,OM,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,BLUE RIDGE SCULPIN,895,SCULPIN,I,N,IS,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,RIVER CHUB,240,OTHRCYPR,I,N,OM,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,SPOTTAIL SHINER,38,SHINER,I,N,OM,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,SWALLOWTAIL SHINER,79,SHINER,NOTYPE,N,IV,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,COMMON SHINER,413,SHINER,I,N,OM,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,TESSELLATED DARTER,164,DARTER,T,N,IV,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,CREEK CHUB,13,OTHRCYPR,T,N,GE,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,SEA LAMPREY,3,LAMPREY,I,N,FF,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,ROSYFACE SHINER,135,SHINER,NOTYPE,N,IV,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,SMALLMOUTH BASS,8,NOTYPE,NOTYPE,IC,TP,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,REDBREAST SUNFISH,4,SUNFISH,NOTYPE,IY,GE,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,NORTHERN HOGSUCKER,98,SUCKER,I,N,IV,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,MARGINED MADTOM,106,MADTOM,I,IY,IV,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,LONGNOSE DACE,615,OTHRCYPR,NOTYPE,N,OM,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,CYPRINELLA SP.,65,SHINER,I,N,IV,N,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,WHITE SUCKER,347,SUCKER,T,N,OM,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-636-R-1111,ROSYSIDE DACE,33,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,17.4,36577,MBSS_2005_Fish,,,46.18,0,,,,,,,,,,,
UXED-638-R-1111,ROSYSIDE DACE,2,OTHRCYPR,NOTYPE,N,IV,Y,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,SEA LAMPREY,5,LAMPREY,I,N,FF,N,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,SMALLMOUTH BASS,9,NOTYPE,NOTYPE,IC,TP,N,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,SPOTTAIL SHINER,89,SHINER,I,N,OM,Y,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,SWALLOWTAIL SHINER,22,SHINER,NOTYPE,N,IV,Y,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,WHITE SUCKER,211,SUCKER,T,N,OM,Y,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,AMERICAN EEL,233,NOTYPE,NOTYPE,N,GE,N,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,TESSELLATED DARTER,103,DARTER,T,N,IV,N,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,ROSYFACE SHINER,32,SHINER,NOTYPE,N,IV,Y,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,RIVER CHUB,128,OTHRCYPR,I,N,OM,Y,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,REDBREAST SUNFISH,6,SUNFISH,NOTYPE,IY,GE,N,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,PUMPKINSEED,2,SUNFISH,T,IY,IV,N,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,NOTROPIS SP.,2,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,NORTHERN HOGSUCKER,112,SUCKER,I,N,IV,Y,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
UXED-638-R-1111,MARGINED MADTOM,225,MADTOM,I,IY,IV,N,EPIEDMONT,75,21.9,29419,MBSS_2005_Fish,,,47.89,0,,,,,,,,,,,
